name,artists,popularity,album_name,danceability,energy,liveness,valence,tempo,speechiness,title
Just Keep Watching (From F1Â® The Movie),"Tate McRae, F1 The Album",91,Just Keep Watching (From F1Â® The Movie),-0.07697983677792773,0.7954075286169574,2.4402823611959703,-0.5638924006155002,0.24339723676942612,0.13048857814692572,"Just Keep Watching (From F1Â® The Movie) by Tate McRae, F1 The Album"
Beautiful Things,Benson Boone,93,Fireworks & Rollerblades,-1.3751255683166062,-1.1447373618213534,-0.2727308918915097,-1.4874792850231848,-0.6393479797494223,-0.4286557741258898,Beautiful Things by Benson Boone
Espresso,Sabrina Carpenter,91,Short n' Sweet,0.22639117657078456,0.6760139968976766,0.20517117166048532,0.7049187075756392,-0.6770984672051569,-0.7575642166393107,Espresso by Sabrina Carpenter
Sailor Song,Gigi Perez,89,"At The Beach, In Every Life",-1.1846367924929957,-1.616341812112512,0.10959075895008642,-1.2498574167047027,-0.9918157111255247,-0.7904550608906526,Sailor Song by Gigi Perez
DtMF,Bad Bunny,97,DeBÃ TiRAR MÃ¡S FOToS,-0.2956891719828139,-3.1744274010491242,-0.7087246206397146,-2.3258809713544326,0.458142974041072,-0.3077023468790189,DtMF by Bad Bunny
Who,Jimin,90,MUSE,-0.0487592773966521,0.5566204651783959,0.11694309838934788,1.2877647996775763,-0.2496255459310752,-0.7289173522913674,Who by Jimin
Thatâ€™s So True,Gracie Abrams,96,The Secret of Us (Deluxe),-0.7966041010004556,0.8670436476485258,-0.13303644254554192,-0.8015142689339821,-0.5147288752871992,-0.6779895934505797,Thatâ€™s So True by Gracie Abrams
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",93,Shake It To The Max (FLY) (Remix),1.3340481322858524,-0.6850722647021226,-0.1624458003025878,0.050337711830387454,-0.8883737093823721,0.23658807573190013,"Shake It To The Max (FLY) - Remix by MOLIY, Silent Addy, Skillibeng, Shenseea"
no tiene sentido,BeÃ©le,89,BORONDO,0.028847260901855895,-0.3985277885758495,-0.42713002011600054,-0.24108533422058126,-0.039200220919842675,-0.4785225379908278,no tiene sentido by BeÃ©le
Iris,The Goo Goo Dolls,58,Stay with You,-2.4827825240316734,0.31186372515387034,-0.6094680382096848,-0.24108533422058126,1.1630430235780274,-0.6843555633056781,Iris by The Goo Goo Dolls
